1,2,3,4,5
1,0,115.094444,0.59,0.427203
2,0,115.15,0.5,0.404505
1,0,116.177778,0.44,0.414669
1,0,116.25,0.55,0.448338
1,0,116.294444,0.5,0.435062
1,0,116.1,0.56,0.447065
1,0,112.955556,0.68,0.387423
2,0,113.85,0.64,0.404309
2,0,112.777778,0.69,0.384381
2,0,112.15,0.72,0.371984
2,0,110.677778,0.81,0.344017
2,0,110.444444,0.83,0.340217
2,0,109.822222,0.8,0.309008
2,0,111.027778,0.74,0.341552
2,0,107.138889,0.93,0.245249
2,0,107.622222,0.89,0.223159
2,0,107.627778,0.86,0.235711
2,0,107.044444,0.86,0.196993
1,0,108.6,0.84,0.256102
1,0,109.65,0.84,0.278938
1,0,112.105556,0.72,0.370624
1,0,112.777778,0.71,0.38893
1,0,113.811111,0.65,0.405632
1,0,116.016667,0.48,0.421943
1,0,117.127778,0.47,0.448165
1,0,117.144444,0.43,0.436395
2,0,117.777778,0.4,0.443022
2,0,117.777778,0.37,0.433529
2,0,117.805556,0.43,0.453223
2,0,116.155556,0.52,0.437105
2,0,114.05,0.63,0.407647
2,0,113.088889,0.67,0.38908
2,0,112.288889,0.72,0.376237
3,0,112.777778,0.66,0.377558
3,0,112.727778,0.67,0.378346
3,0,112.266667,0.69,0.369006
3,0,111.711111,0.71,0.356463
1,0,110.827778,0.86,0.358486
3,0,112.2,0.59,0.345284
3,0,112.2,0.6,0.347456
3,0,111.688889,0.68,0.349545
3,0,111.205556,0.77,0.353042
2,0,111.133333,0.77,0.350767
2,0,111.438889,0.77,0.360394
2,0,113.033333,0.81,0.419908
2,0,117.244444,0.62,0.497261
2,0,117.738889,0.53,0.483101
3,0,117.844444,0.56,0.495505
2,0,118.861111,0.56,0.523735
3,0,118.666667,0.56,0.518336
3,0,117.822222,0.56,0.494887
3,0,117.8,0.59,0.503776
2,0,117.35,0.57,0.484863
2,0,116.066667,0.67,0.477598
2,0,114.933333,0.73,0.459857
2,0,113.922222,0.78,0.441112
2,0,112.755556,0.84,0.41777
2,0,112.755556,0.84,0.41777
2,0,112.372222,0.86,0.40962
2,0,111.183333,0.93,0.384192
2,0,111.666667,0.9,0.394567
1,0,108.977778,0.95,0.283658
2,0,110.577778,0.93,0.363389
2,0,110.533333,0.89,0.354362
2,0,110.588889,0.87,0.352462
2,0,109.983333,0.89,0.324085
2,0,111.022222,0.86,0.364924
1,0,113.538889,0.75,0.421736
1,0,113.888889,0.68,0.415333
1,0,115,0.67,0.44589
1,0,117.183333,0.57,0.480205
2,0,116.2,0.62,0.467143
2,0,117.75,0.56,0.492882
2,0,118.405556,0.54,0.504533
1,0,117.822222,0.59,0.504405
1,0,117.311111,0.57,0.483776
1,0,117.505556,0.55,0.482978
2,0,117.266667,0.54,0.473314
2,0,115.138889,0.61,0.43385
2,0,113.25,0.69,0.398586
1,0,112.294444,0.72,0.376407
1,0,110.7,0.79,0.340923
1,0,109.855556,0.85,0.31686
1,0,109.522222,0.88,0.290858
1,0,108.405556,0.92,0.287268
2,0,113.011111,0.82,0.421508
1,0,107.733333,0.96,0.269801
1,0,106.138889,0.96,0.214174
1,0,106.472222,0.95,0.224651
4,0,106.627778,0.96,0.23123
0,0,108.688889,0.93,0.298498
1,0,111.994444,0.81,0.386437
1,0,113.766667,0.78,0.436183
1,0,115.088889,0.77,0.475391
1,0,116.455556,0.68,0.492087
1,0,117.311111,0.62,0.499183
1,0,117.872222,0.64,0.521726
1,0,119.038889,0.47,0.498172
1,0,118.977778,0.51,0.510085
1,0,119.005556,0.55,0.524363
2,0,119.011111,0.53,0.517749
2,0,117.866667,0.64,0.521564
2,0,117.266667,0.62,0.497902
2,0,116.188889,0.61,0.463941
2,0,114.883333,0.72,0.455668
2,0,114.327778,0.75,0.44631
3,0,114.511111,0.75,0.452021
3,0,114.372222,0.75,0.447695
3,0,114.877778,0.72,0.455498
4,0,110.405556,0.92,0.35562
3,0,112.822222,0.83,0.417671
3,0,112.8,0.85,0.421504
3,0,112.827778,0.86,0.424702
3,0,112.266667,0.85,0.403941
3,0,112.266667,0.85,0.403941
2,0,112.183333,0.82,0.394691
3,0,112.172222,0.8,0.389998
3,0,112.711111,0.83,0.414052
2,0,115.605556,0.78,0.494446
2,0,116.022222,0.78,0.507648
2,0,117.2,0.67,0.511287
3,0,117.216667,0.71,0.524041
2,0,117.827778,0.69,0.536295
2,0,117.827778,0.69,0.536295
1,0,117.733333,0.69,0.533454
2,0,116.272222,0.71,0.495294
3,0,113.166667,0.93,0.452328
3,0,113.255556,0.93,0.455381
3,0,113.011111,0.93,0.446984
2,0,112.455556,0.91,0.423464
2,0,112.488889,0.9,0.422374
1,0,111.827778,0.92,0.404226
4,0,110.761111,0.91,0.365856
2,0,112.155556,0.95,0.421919
4,0,109.672222,0.94,0.325656
4,0,108.15,0.94,0.26417
4,0,110.2,0.95,0.354042
4,0,110.116667,0.99,0.358353
4,0,110.161111,0.99,0.359927
4,0,111.244444,0.98,0.396299
4,0,112.244444,0.99,0.433723
3,0,113.911111,0.92,0.475426
1,0,115.616667,0.82,0.505918
1,0,115.072222,0.86,0.499011
1,0,115.072222,0.82,0.48828
3,0,114.266667,0.87,0.47488
2,0,116.016667,0.81,0.516025
3,0,115.027778,0.86,0.49754
